id,name,epoch,timestamp,train_loss,lr,acc,acc_ans,acc_think,correct,correct_ans,correct_think,total,epoch_time_s,elapsed_s,acc_mode,pass_threshold,passed
0,regular-1,25,2026-09-20 20:50:49,0.3516320239971666,0.001,0.3070,0.0000,0.0000,681,0,0,2218,4.02,479.42,acc,0.95,0
1,regular-2,30,2026-09-20 21:01:34,0.33940329687560306,0.001,0.3084,0.0000,0.0000,684,0,0,2218,4.4,536.96,acc,0.95,0
2,regular-4,25,2026-09-20 21:09:32,0.33688511787091985,0.001,0.3269,0.0000,0.0000,725,0,0,2218,4.99,464.82,acc,0.95,0
3,regular-8,24,2026-09-20 21:19:31,0.34179244037060175,0.001,0.3206,0.0000,0.0000,711,0,0,2218,6.58,486.34,acc,0.95,0
4,regular-16,28,2026-09-20 21:32:37,0.3521409201271394,0.001,0.2764,0.0000,0.0000,613,0,0,2218,9.6,648.73,acc,0.95,0
5,regular-32,26,2026-09-20 21:53:58,0.4787995217039305,0.001,0.1943,0.0000,0.0000,431,0,0,2218,30.43,1219.67,acc,0.95,0
6,regular-64,30,2026-09-20 22:50:23,0.4584061593255576,0.001,0.2299,0.0000,0.0000,510,0,0,2218,87.69,3185.56,acc,0.95,0
7,focus-4,29,2026-09-20 22:59:14,0.3434196206576684,0.001,0.3030,0.0000,0.0000,672,0,0,2218,4.36,514.62,acc,0.95,0
8,focus-8,24,2026-09-20 23:07:04,0.3413776400334695,0.001,0.3151,0.0000,0.0000,699,0,0,2218,4.89,438.42,acc,0.95,0
9,focus-16,28,2026-09-20 23:18:16,0.3348173087134081,0.001,0.3170,0.0000,0.0000,703,0,0,2218,6.19,546.93,acc,0.95,0
10,expansion-4,25,2026-09-20 23:26:36,0.3448755837538663,0.001,0.3138,0.0000,0.0000,696,0,0,2218,4.49,445.45,acc,0.95,0
11,expansion-8,25,2026-09-20 23:36:18,0.34353746671010466,0.001,0.3147,0.0000,0.0000,698,0,0,2218,5.39,474.33,acc,0.95,0
12,expansion-16,25,2026-09-20 23:46:57,0.339739598772105,0.001,0.3161,0.0000,0.0000,701,0,0,2218,7.26,527.07,acc,0.95,0
13,balanced-4,30,2026-09-20 23:57:51,0.339481478666558,0.001,0.2994,0.0000,0.0000,664,0,0,2218,4.51,530.64,acc,0.95,0
14,balanced-8,27,2026-09-21 00:06:25,0.34187932663104115,0.001,0.2994,0.0000,0.0000,664,0,0,2218,5.01,499.87,acc,0.95,0
15,balanced-16,26,2026-09-21 00:15:57,0.3373163296457599,0.001,0.3174,0.0000,0.0000,704,0,0,2218,5.93,501.17,acc,0.95,0
16,balanced2-4,26,2026-09-21 00:25:20,0.341998805237167,0.001,0.3282,0.0000,0.0000,728,0,0,2218,4.3,466.72,acc,0.95,0
17,balanced2-8,25,2026-09-21 00:34:25,0.3420146221623701,0.001,0.3233,0.0000,0.0000,717,0,0,2218,4.96,459.85,acc,0.95,0
18,balanced2-16,28,2026-09-21 00:45:24,0.33720453456044197,0.001,0.3097,0.0000,0.0000,687,0,0,2218,5.9,548.36,acc,0.95,0
