id,name,epoch,timestamp,train_loss,lr,acc,acc_ans,acc_think,correct,correct_ans,correct_think,total,epoch_time_s,elapsed_s,acc_mode,pass_threshold,passed
0,regular-1,25,2026-09-21 15:23:13,0.36915379828389955,0.001,0.2782,0.0000,0.0000,617,0,0,2218,3.27,592.76,acc,0.95,0
1,regular-2,25,2026-09-21 15:32:51,0.36032555427621393,0.001,0.2922,0.0000,0.0000,648,0,0,2218,2.95,558.38,acc,0.95,0
2,regular-4,24,2026-09-21 15:42:13,0.3653588950195733,0.001,0.2818,0.0000,0.0000,625,0,0,2218,3.1,540.28,acc,0.95,0
3,regular-8,24,2026-09-21 15:52:11,0.3650077706312432,0.001,0.2809,0.0000,0.0000,623,0,0,2218,3.74,554.8,acc,0.95,0
4,regular-16,23,2026-09-21 16:02:23,0.4056407132131212,0.001,0.2381,0.0000,0.0000,528,0,0,2218,5.03,566.34,acc,0.95,0
5,regular-32,24,2026-09-21 16:17:19,0.5057434864780482,0.001,0.1515,0.0000,0.0000,336,0,0,2218,13.04,821.24,acc,0.95,0
6,regular-64,24,2026-09-21 16:32:27,0.4980192874722621,0.001,0.1677,0.0000,0.0000,372,0,0,2218,15.71,851.48,acc,0.95,0
7,focus-4,24,2026-09-21 16:42:23,0.36278732120990753,0.001,0.2940,0.0000,0.0000,652,0,0,2218,2.98,536.66,acc,0.95,0
8,focus-8,24,2026-09-21 16:52:13,0.36141557947677727,0.001,0.2867,0.0000,0.0000,636,0,0,2218,3.47,545.74,acc,0.95,0
9,focus-16,24,2026-09-21 17:02:09,0.36971108133302016,0.001,0.2786,0.0000,0.0000,618,0,0,2218,3.72,553.66,acc,0.95,0
10,expansion-4,25,2026-09-21 17:12:49,0.36292798554196076,0.001,0.2818,0.0000,0.0000,625,0,0,2218,3.25,595.77,acc,0.95,0
11,expansion-8,24,2026-09-21 17:22:13,0.3663659786038539,0.001,0.2881,0.0000,0.0000,639,0,0,2218,3.5,543.57,acc,0.95,0
12,expansion-16,23,2026-09-21 17:31:51,0.37432265982908364,0.001,0.2714,0.0000,0.0000,602,0,0,2218,3.94,535.05,acc,0.95,0
13,balanced-4,24,2026-09-21 17:41:52,0.35947219085167437,0.001,0.2935,0.0000,0.0000,651,0,0,2218,2.94,533.04,acc,0.95,0
14,balanced-8,25,2026-09-21 17:52:00,0.35891663370763555,0.001,0.2885,0.0000,0.0000,640,0,0,2218,3.4,564.37,acc,0.95,0
15,balanced-16,23,2026-09-21 18:01:38,0.3685743453748086,0.001,0.2777,0.0000,0.0000,616,0,0,2218,3.71,558.41,acc,0.95,0
16,balanced2-4,24,2026-09-21 18:11:41,0.37346647088142004,0.001,0.2692,0.0000,0.0000,597,0,0,2218,3.17,534.46,acc,0.95,0
17,balanced2-8,23,2026-09-21 18:21:23,0.36342550638843985,0.001,0.2876,0.0000,0.0000,638,0,0,2218,3.45,538.74,acc,0.95,0
18,balanced2-16,24,2026-09-21 18:31:52,0.3685266454430187,0.001,0.2737,0.0000,0.0000,607,0,0,2218,3.55,561.8,acc,0.95,0
