id,name,epoch,timestamp,train_loss,lr,acc,acc_ans,acc_think,correct,correct_ans,correct_think,total,epoch_time_s,elapsed_s,acc_mode,pass_threshold,passed
0,regular-1,24,2026-09-21 22:06:52,0.31243333987453403,0.001,0.6650,0.0000,0.0000,1475,0,0,2218,2.74,302.81,acc,0.95,0
1,regular-2,25,2026-09-21 22:12:39,0.3030606041498044,0.001,0.7484,0.0000,0.0000,1660,0,0,2218,2.92,324.32,acc,0.95,0
2,regular-4,25,2026-09-21 22:18:15,0.2979472562232438,0.001,0.7845,0.0000,0.0000,1740,0,0,2218,3.19,325.17,acc,0.95,0
3,regular-8,25,2026-09-21 22:24:04,0.2992334942169049,0.001,0.7390,0.0000,0.0000,1639,0,0,2218,3.76,338.44,acc,0.95,0
4,regular-16,25,2026-09-21 22:30:41,0.3325253411689225,0.001,0.4982,0.0000,0.0000,1105,0,0,2218,5.31,386.18,acc,0.95,0
5,regular-32,25,2026-09-21 22:42:58,0.40646293627865177,0.001,0.2642,0.0000,0.0000,586,0,0,2218,16.62,727.12,acc,0.95,0
6,regular-64,25,2026-09-21 22:56:37,0.41963447433184176,0.001,0.2322,0.0000,0.0000,515,0,0,2218,21.33,807.32,acc,0.95,0
7,focus-4,25,2026-09-21 23:02:04,0.3057575302527231,0.001,0.7205,0.0000,0.0000,1598,0,0,2218,3.1,317.22,acc,0.95,0
8,focus-8,25,2026-09-21 23:07:38,0.3060815901879002,0.001,0.6862,0.0000,0.0000,1522,0,0,2218,3.13,324.38,acc,0.95,0
9,focus-16,24,2026-09-21 23:12:58,0.3107697264674832,0.001,0.6407,0.0000,0.0000,1421,0,0,2218,3.59,310.09,acc,0.95,0
10,expansion-4,21,2026-09-21 23:17:47,0.3038969394915244,0.001,0.7493,0.0000,0.0000,1662,0,0,2218,3.04,264.65,acc,0.95,0
11,expansion-8,25,2026-09-21 23:24:23,0.3027062512495938,0.001,0.6700,0.0000,0.0000,1486,0,0,2218,3.37,333.27,acc,0.95,0
12,expansion-16,25,2026-09-21 23:30:40,0.3197638677323566,0.001,0.5415,0.0000,0.0000,1201,0,0,2218,4.18,366.8,acc,0.95,0
13,balanced-4,24,2026-09-21 23:35:58,0.3034645279540735,0.001,0.7214,0.0000,0.0000,1600,0,0,2218,2.97,307.25,acc,0.95,0
14,balanced-8,24,2026-09-21 23:41:40,0.3064504910041304,0.001,0.6862,0.0000,0.0000,1522,0,0,2218,3.15,319.23,acc,0.95,0
15,balanced-16,25,2026-09-21 23:47:41,0.3112928475088933,0.001,0.6664,0.0000,0.0000,1478,0,0,2218,3.59,339.76,acc,0.95,0
16,balanced2-4,25,2026-09-21 23:53:15,0.30438368789413395,0.001,0.7308,0.0000,0.0000,1621,0,0,2218,3.04,324.42,acc,0.95,0
17,balanced2-8,24,2026-09-21 23:58:43,0.30733365740846186,0.001,0.6767,0.0000,0.0000,1501,0,0,2218,3.12,317.3,acc,0.95,0
18,balanced2-16,21,2026-09-22 00:04:02,0.31618905242751627,0.001,0.6420,0.0000,0.0000,1424,0,0,2218,3.52,297.16,acc,0.95,0
