id,name,epoch,timestamp,train_loss,lr,acc,acc_ans,acc_think,correct,correct_ans,correct_think,total,epoch_time_s,elapsed_s,acc_mode,pass_threshold,passed
0,regular-1,25,2026-09-21 18:57:42,0.33248933777213097,0.001,0.3981,0.0000,0.0000,883,0,0,2218,3.11,351.52,acc,0.95,0
1,regular-2,25,2026-09-21 19:03:14,0.29173561382819624,0.001,0.6934,0.0000,0.0000,1538,0,0,2218,3.2,322.45,acc,0.95,0
2,regular-4,24,2026-09-21 19:09:04,0.3105842484270825,0.001,0.5406,0.0000,0.0000,1199,0,0,2218,3.32,339.33,acc,0.95,0
3,regular-8,25,2026-09-21 19:15:22,0.29134387391455036,0.001,0.6749,0.0000,0.0000,1497,0,0,2218,3.85,353.7,acc,0.95,0
4,regular-16,25,2026-09-21 19:22:20,0.33931055752670064,0.001,0.3832,0.0000,0.0000,850,0,0,2218,5.28,407.95,acc,0.95,0
5,regular-32,24,2026-09-21 19:34:17,0.39170190034543767,0.001,0.2430,0.0000,0.0000,539,0,0,2218,16.48,708.08,acc,0.95,0
6,regular-64,24,2026-09-21 19:48:32,0.40551217097569914,0.001,0.2732,0.0000,0.0000,606,0,0,2218,21.21,815.31,acc,0.95,0
7,focus-4,25,2026-09-21 19:54:41,0.3177522431839915,0.001,0.4905,0.0000,0.0000,1088,0,0,2218,2.98,326.56,acc,0.95,0
8,focus-8,24,2026-09-21 20:00:18,0.3143206771244021,0.001,0.5027,0.0000,0.0000,1115,0,0,2218,3.26,325.91,acc,0.95,0
9,focus-16,23,2026-09-21 20:05:57,0.34252554265891805,0.001,0.4031,0.0000,0.0000,894,0,0,2218,3.62,315.35,acc,0.95,0
10,expansion-4,23,2026-09-21 20:11:48,0.304998038446202,0.001,0.5667,0.0000,0.0000,1257,0,0,2218,3.2,313.67,acc,0.95,0
11,expansion-8,24,2026-09-21 20:17:58,0.310206742847667,0.001,0.5690,0.0000,0.0000,1262,0,0,2218,3.47,333.59,acc,0.95,0
12,expansion-16,23,2026-09-21 20:24:07,0.32190798485980315,0.001,0.4725,0.0000,0.0000,1048,0,0,2218,4.12,344.9,acc,0.95,0
13,balanced-4,25,2026-09-21 20:30:11,0.3452926146633485,0.001,0.3485,0.0000,0.0000,773,0,0,2218,3.03,322.98,acc,0.95,0
14,balanced-8,25,2026-09-21 20:36:00,0.30835331187528725,0.001,0.5406,0.0000,0.0000,1199,0,0,2218,3.16,338.97,acc,0.95,0
15,balanced-16,24,2026-09-21 20:41:40,0.3459956446552978,0.001,0.3422,0.0000,0.0000,759,0,0,2218,3.64,329.73,acc,0.95,0
16,balanced2-4,24,2026-09-21 20:47:20,0.29146929413956757,0.001,0.6939,0.0000,0.0000,1539,0,0,2218,3.11,317.26,acc,0.95,0
17,balanced2-8,25,2026-09-21 20:53:24,0.2973047078532331,0.001,0.6181,0.0000,0.0000,1371,0,0,2218,3.3,341.63,acc,0.95,0
18,balanced2-16,25,2026-09-21 20:59:30,0.3017779551446438,0.001,0.5866,0.0000,0.0000,1301,0,0,2218,3.58,355.97,acc,0.95,0
